venta_det_id,venta_id,producto_id,cantidad,precio_compra,precio_venta,descuento;;;;;;;;;total;;;;;
1,1,1,1,15,20,0;;1;1;1;1;13;20;0;20;;1;joggers;;15
2,1,1,1,15,20,0;;2;1;1;1;13;20;0;20;;;;;
3,1,1,1,15,20,0;;3;1;1;1;13;20;0;20;;2;polera;;30
4,2,2,1,30,35,0;;4;2;2;1;25;35;0;35;;;;;
5,2,4,1,45,50,0;;5;2;4;1;40;50;0;50;;3;Casaquilla;;30
6,3,4,2,45,30,2;;6;3;4;2;40;50;2;98;;;;;
7,3,2,1,30,35,0;;7;3;2;1;25;35;0;35;;4;conjunto,de,buzo;;45
8,3,3,1,30,35,0;;8;3;3;1;25;35;0;35;;;;;
9,4,1,10,15,20,10;;9;4;1;10;13;20;10;190;;;;;
10,5,2,1,30,35,0;;10;5;2;1;25;35;0;35;;;;;
11,5,4,2,45,50,2;;11;5;4;2;40;50;2;98;;;;;
12,5,4,1,45,50,0;;12;5;4;1;40;50;0;50;;;;;
13,6,2,2,30,35,2;;13;6;2;2;25;35;2;68;;;;;
14,6,4,1,45,50,0;;14;6;4;1;40;50;0;50;;;;;
15,7,1,1,15,20,0;;15;7;1;1;13;20;0;20;;;;;
16,7,2,1,30,35,0;;16;7;2;1;25;35;0;35;;;;;
17,7,3,1,30,35,0;;17;7;3;1;25;35;0;35;;;;;
18,8,1,2,15,20,2;;18;8;1;2;13;20;2;38;;;;;
19,8,2,1,30,35,0;;19;8;2;1;25;35;0;35;;;;;
20,9,4,2,45,50,2;;20;9;4;2;40;50;2;98;;;;;
21,9,2,5,30,35,10;;21;9;2;5;25;35;25;150;;;;;
22,9,2,1,30,35,0;;22;9;2;1;25;35;0;35;;;;;
23,10,3,1,30,35,0;;23;10;3;1;25;35;0;35;;;;;
24,10,4,1,45,50,0;;24;10;4;1;40;50;0;50;;;;;
25,11,2,1,30,35,0;;25;11;2;1;25;35;0;35;;;;;
26,11,1,1,15,20,0;;26;11;1;1;13;20;0;20;;;;;
27,11,1,1,15,20,0;;27;11;1;1;13;20;0;20;;;;;
28,12,2,1,30,35,0;;28;12;2;1;25;35;0;35;;;;;
29,12,1,10,15,20,10;;29;12;1;10;13;20;50;150;;;;;
30,13,1,5,15,20,5;;30;13;1;5;13;20;5;75;;;;;
31,13,1,3,15,20,6;;31;13;1;3;13;20;6;54;;;;;
32,14,2,2,30,35,2;;32;14;2;2;25;35;2;68;;;;;
33,14,3,1,30,35,0;;33;14;3;1;25;35;0;35;;;;;
34,14,2,1,30,35,0;;34;14;2;1;25;35;0;35;;;;;
35,15,1,1,15,20,0;;35;15;1;1;13;20;0;20;;;;;
36,15,1,6,15,20,12;;36;15;1;6;13;20;30;90;;;;;
37,16,1,5,15,20,5;;37;16;1;5;13;20;25;75;;;;;
38,16,4,1,45,50,0;;38;16;4;1;40;50;0;50;;;;;
39,16,2,1,30,35,0;;39;16;2;1;25;35;0;35;;;;;
40,17,4,1,45,50,0;;40;17;4;1;40;50;0;50;;;;;
41,17,4,2,45,50,2;;41;17;4;2;40;50;2;98;;;;;
